11.9249 	INFO 	Loaded monitor calibration from ['2025_09_14 11:11']
11.9694 	WARNING 	User requested fullscreen with size [1280  720], but screen is actually [1920, 1080]. Using actual size
13.0734 	INFO 	Using renderer 'Intel(R) Iris(R) Xe Graphics' for graphics
13.0735 	INFO 	OpenGL version supported by driver is 4..
13.2989 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000022A0E699870>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000022A0E699810>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=True, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000022A0E7430D0>, multiSample=False, name='window1', numSamples=2, pos=[np.float64(0.0), np.float64(0.0)], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
13.2992 	EXP 	window1: backgroundImage = ''
13.2993 	EXP 	window1: backgroundFit = 'none'
14.5263 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
14.5264 	EXP 	window1: recordFrameIntervals = False
14.6941 	EXP 	window1: recordFrameIntervals = True
14.8778 	EXP 	Screen (0) actual frame rate measured at 59.99Hz
14.8778 	EXP 	window1: recordFrameIntervals = False
15.3240 	INFO 	keyboard.Keyboard is using ptb backend.
15.3242 	EXP 	VST: status = STARTED
15.5980 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=np.float64(0.05), italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
